Comment,Description,Designator,Footprint,LibRef,Quantity,Value

"Li-Po Battery","Li-Po Rechargable Battery","Battery1","HDR1X2_2.54_180","Battery_LiPo","1",""
"Cap_0603","Capacitor","C5","CAP_0603","Cap_0603","1","0.47uF"
"Cap_0603","Capacitor","C6, C10, C11","CAP_0603","Cap_0603","3","10uF"
"Cap_0603","Capacitor","C7, C8, C9, C13, C19, C22, C25","CAP_0603","Cap_0603","7","0.1uF"
"Cap_0805","Capacitor","C12, C23","CAP_0805","Cap_0805","2","10uF"
"Cap_0805","Capacitor","C14, C15, C20, C21","CAP_0805","Cap_0805","4","22uF"
"Cap_0603","Capacitor","C16, C17","CAP_0603","Cap_0603","2","1uF"
"Cap_0402","Capacitor","C18","CAP_0402","Cap_0402","1","22n"
"Cap_0402","Capacitor","C24","CAP_0402","Cap_0402","1","2.2nF"
"Cap_0402","Capacitor","C26","CAP_0402","Cap_0402","1","10n"
"Cap_0402","Capacitor","C27, C28","CAP_0402","Cap_0402","2","0.1u"
"SchottkyDiode_SOD123","Diode","D1, D2","DO-214AC","SchottkyDiode_SOD123","2","SS32"
"LED_0603","LED","D3, D4","LED_0603_RED","LED_0603","2",""
"HDR2x3_2.54","Header","HDR1","HDR2X3_2.54_180","HDR2x3_2.54","1",""
"Ind_CD32","Inductor","L1","IND_CD32","Ind_CD32","1","4.7uH"
"Speaker","Loudspeaker","LS2","PIN2","Speaker","1",""
"Geared DC Motor 6X16","Geared DC Motor, 6mm D, L=16mm","M1, M2","Geared_DC_Motor_6X16","GearMotor_DC_6X16","2",""
"Header 9X2","Header, 9-Pin, Dual row","P1, P2","HDR2X9_2.00_180F","Header 9X2","2",""
"Res_0603","Resistor","R4, R8","RES_0603","Res_0603","2","5K"
"Res_0603","Resistor","R5","RES_0603","Res_0603","1","0.3Ohm"
"Res_0603","Resistor","R6","RES_0603","Res_0603","1","1K"
"Res_0603","Resistor","R7","RES_0603","Res_0603","1","800K,1%"
"Res_0603","Resistor","R9","RES_0603","Res_0603","1","1M,1%"
"RANGE_VL53L0X_FRONT","","RG1","HDR1X6_1.27_180H_SMD","RANGE_VL53L0X","1",""
"RANGE_VL6180X_LEFT","","RG2","HDR1X6_1.27_180H_SMD","RANGE_VL6180X","1",""
"RANGE_VL6180X_RIGHT","","RG3","HDR1X6_1.27_180H_SMD","RANGE_VL6180X","1",""
"RANGE_VL6180X_REAR","","RG4","HDR1X6_1.27_180","RANGE_VL6180X","1",""
"RANGE_VL6180X_LED_LEFT","","RG5","HDR1X8_1.27_180","RANGE_VL6180X_LED","1",""
"RANGE_VL6180X_LED_RIGHT","","RG6","HDR1X8_1.27_180","RANGE_VL6180X_LED","1",""
"RT9193-28","Power","RT1","SOT23-5","RT9193","1",""
"ButtonTACT_3x4x2_180","Button","S1","ButtonTACT_3x4x2_180H","ButtonTACT_3x4x2_180","1",""
"SwitchSPDT_2.8x6.6_90","Switch","S2","SwitchSPDT_2.8X6.6_90","SwitchSPDT_2.8x6.6_90","1",""
"LED_3535_SK6812","LED","SK1, SK2, SK3, SK4","LED_3535_4P","LED_3535_SK6812","4",""
"TP5400","Charge","TP1","SOP_E150_8","TP5400","1",""
"NS4168","D Class Audio Amp with I2S input","U3","SOP_E150_8","NS4168","1",""
"MP45DT02","Mic Omni-Directional -26dB 3.6V Rectangular Solder Pad","U4, U5, U6","ST_HLGA6","MP45DT02","3",""
"TC214B","DC Motor Driver 1 Channel  (Cheap Replacement of L9110)","U7, U8","SOP_E150_8","TC214B","2",""
"VL53L0X","VL53L0X - Laser Time of Flight Sensor (2M range)","U9","LGA12_ST_4.4X2.4X1MM","VL53L0X","1",""
"MPU6050","Sensor Motion","U10","QFN_P0.4_24","MPU6050","1",""
"USB Mini-B","USB","USB1","USB_Micro-AB","USB_Micro","1",""
"Jumper","Jumper Wire","W1","HDR1X2","Jumper","1",""
